2026-03-21 18:48:38,UP,10,PLACED,0.00%
2026-03-21 18:53:12,UP,10,PLACED,0.00%
2026-03-21 18:57:47,UP,10,PLACED,0.00%
2026-03-21 18:59:18,UP,10,PLACED,0.00%
2026-03-21 20:14:26,UP,1.20,PLACED,0.00%
2026-03-21 20:15:57,UP,1.20,PLACED,0.00%
2026-03-21 20:31:49,DOWN,1.23,PLACED,0.00%
2026-03-21 21:23:02,UP,1.23,PLACED,0.00%
2026-03-21 21:47:08,UP,1.15,PLACED,0.00%
2026-03-21 22:29:19,UP,1.07,PLACED,0.00%
2026-03-21 22:30:50,UP,1.08,PLACED,0.00%
2026-03-21 22:56:28,UP,1.17,PLACED,0.00%
2026-03-21 23:04:01,UP,1.07,PLACED,0.00%
2026-03-21 23:16:05,UP,1.00,PLACED,0.00%
2026-03-21 23:32:40,UP,1.00,PLACED,0.00%
2026-03-21 23:47:44,UP,0.71,PLACED,0.00%
2026-03-22 00:16:21,DOWN,0.95,PLACED,0.00%
2026-03-22 00:34:26,DOWN,0.88,PLACED,0.00%
2026-03-22 00:54:02,UP,0.83,PLACED,0.00%
2026-03-22 01:06:06,DOWN,0.96,PLACED,0.00%
2026-03-22 01:21:10,DOWN,0.88,PLACED,0.00%
2026-03-22 01:37:45,UP,0.85,PLACED,0.00%
2026-03-22 01:51:19,DOWN,0.99,PLACED,0.00%
2026-03-22 02:01:52,DOWN,0.96,PLACED,0.00%
2026-03-22 02:24:29,DOWN,0.99,PLACED,0.00%
2026-03-22 02:30:31,DOWN,0.72,PLACED,0.00%
2026-03-22 02:56:09,DOWN,0.85,PLACED,0.00%
2026-03-22 03:03:41,UP,0.85,PLACED,0.00%
2026-03-22 16:53:27,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221300-00
2026-03-22 16:54:27,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221300-00
2026-03-22 16:55:28,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221300-00
2026-03-22 16:56:28,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221300-00
2026-03-22 16:57:28,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221300-00
2026-03-22 16:58:29,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221300-00
2026-03-22 16:59:29,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221300-00
2026-03-22 17:01:30,DOWN,1.45,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221315-15
2026-03-22 17:05:31,DOWN,0.80,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221315-15
2026-03-22 17:10:33,UP,0.95,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221315-15
2026-03-22 17:12:34,UP,1.25,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221315-15
2026-03-22 17:13:34,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221315-15
2026-03-22 17:14:35,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221315-15
2026-03-22 17:18:36,DOWN,0.80,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221330-30
2026-03-22 17:19:36,DOWN,0.85,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221330-30
2026-03-22 17:25:39,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221330-30
2026-03-22 17:26:39,DOWN,1.55,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221330-30
2026-03-22 17:28:40,UP,0.95,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221330-30
2026-03-22 17:29:40,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221330-30
2026-03-22 17:36:43,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221345-45
2026-03-22 17:37:05,DOWN,1.65,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221345-45
2026-03-22 17:38:05,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221345-45
2026-03-22 17:39:05,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221345-45
2026-03-22 17:40:06,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221345-45
2026-03-22 17:41:06,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221345-45
2026-03-22 17:42:07,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221345-45
2026-03-22 17:43:51,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221345-45
2026-03-22 17:44:51,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221345-45
2026-03-22 17:56:46,UP,1.60,PLACED,0.00%,directional|KXBTC15M-26MAR221400-00
2026-03-22 18:02:50,DOWN,1.55,PLACED,0.00%,directional|KXBTC15M-26MAR221415-15
2026-03-22 18:14:56,UP,1.75,PLACED,0.00%,directional|KXBTC15M-26MAR221415-15
2026-03-22 18:23:00,DOWN,1.40,PLACED,0.00%,directional|KXBTC15M-26MAR221430-30
2026-03-22 19:06:43,DOWN,1.55,PLACED,0.00%,directional|KXBTC15M-26MAR221515-15
2026-03-22 19:33:17,DOWN,1.40,PLACED,0.00%,directional|KXBTC15M-26MAR221545-45
2026-03-22 19:34:46,DOWN,1.50,PLACED,0.00%,directional|KXBTC15M-26MAR221545-45
2026-03-22 19:49:32,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221600-00
2026-03-22 19:51:33,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221600-00
2026-03-22 19:53:34,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221600-00
2026-03-22 19:55:34,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221600-00
2026-03-22 19:57:35,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221600-00
2026-03-22 19:59:36,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221600-00
2026-03-22 20:01:36,UP,1.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221615-15
2026-03-22 20:03:37,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221615-15
2026-03-22 20:05:38,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221615-15
2026-03-22 20:07:39,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221615-15
2026-03-22 20:09:39,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221615-15
2026-03-22 20:11:40,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221615-15
2026-03-22 20:13:41,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221615-15
2026-03-22 20:19:43,UP,1.25,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221630-30
2026-03-22 20:21:44,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221630-30
2026-03-22 20:23:44,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221630-30
2026-03-22 20:25:45,UP,1.00,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221630-30
2026-03-22 20:27:46,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221630-30
2026-03-22 20:29:46,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221630-30
2026-03-22 20:37:49,DOWN,1.05,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221645-45
2026-03-22 20:39:50,DOWN,1.45,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221645-45
2026-03-22 20:43:52,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221645-45
2026-03-22 20:50:54,DOWN,1.30,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221700-00
2026-03-22 20:52:55,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221700-00
2026-03-22 20:54:56,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221700-00
2026-03-22 20:56:57,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221700-00
